latitude,longitude
40.4393372,-3.7092363
40.4409227,-3.7148877
40.4400631,-3.705865
40.4389353,-3.7075692
40.4378,-3.7062803
40.4392049,-3.7102721
40.4365658,-3.7098989
40.4390864,-3.7077763
40.4416813,-3.7139987
40.4393859,-3.7115401
40.4387156,-3.7114138
40.4406083,-3.712881
40.4403295,-3.7138908
40.4393096,-3.7139715
40.4404153,-3.7066838
40.4397505,-3.7153289
40.4374255,-3.7045062
40.4301989,-3.7058415
40.4355204,-3.7106996
40.429529,-3.7031684
40.4315091,-3.7146904
40.4358916,-3.7050418
40.4332767,-3.7029327
40.4331831,-3.7041592
40.4343327,-3.7058122
40.4294528,-3.7033149
40.4277574,-3.7054041
40.4351118,-3.7065997
40.4319208,-3.7144619
40.4312194,-3.7049972
40.4365658,-3.7098989
40.4343603,-3.7048389
40.4297361,-3.7101616
40.4340664,-3.7143296
40.4327512,-3.7124513
40.4312563,-3.702158
40.4288571,-3.7038611
40.4232882,-3.7076315
40.4200451,-3.7032716
40.4266805,-3.7055265
40.4238653,-3.7114559
40.420356,-3.7032834
40.4206799,-3.7084846
40.425066,-3.7097948
40.4215737,-3.7035173
40.4222856,-3.7094072
40.4182691,-3.7111812
40.4206986,-3.7033323
40.4223285,-3.7075682
40.4267589,-3.7125088
40.4250214,-3.7077435
40.4211922,-3.7085265
40.4233396,-3.7046346
40.4234485,-3.7043967
40.4250138,-3.7082592
40.4235278,-3.7065447
40.4229237,-3.7087391
40.4135368,-3.7083211
40.416054,-3.7064593
40.4177238,-3.7101593
40.415794,-3.7054033
40.4124895,-3.7133811
40.4140217,-3.7030768
40.4161522,-3.703874
40.4093266,-3.7084326
40.4160276,-3.7061749
40.4182691,-3.7111812
40.4124402,-3.7043682
40.412821,-3.709278
40.4122736,-3.7029452
40.4157844,-3.7094666
40.4176674,-3.7106319
40.4116398,-3.709565
40.4140396,-3.710115
40.416246,-3.7118543
40.4178033,-3.705076
40.4125519,-3.7048959
40.4077816,-3.7114832
40.4068129,-3.7132596
40.4042884,-3.7076277
40.4029382,-3.7107943
40.4093266,-3.7084326
40.4025791,-3.7049071
40.4075656,-3.703892
40.4064404,-3.7024263
40.4055743,-3.7045026
40.4085341,-3.7043553
40.4088701,-3.7083251
40.4057129,-3.7037383
40.4072601,-3.7035319
40.4094055,-3.7079498
40.4012198,-3.7042467
40.4081774,-3.7077542
40.4064164,-3.7111215
40.4090702,-3.7116658
40.4018864,-3.7042903
40.4091415,-3.7080915
40.3969365,-3.7089076
40.3923356,-3.7072873
40.3935323,-3.7089724
40.3980737,-3.7134053
40.3975965,-3.7134128
40.3983353,-3.704146
40.3955629,-3.7089363
40.3907168,-3.7093954
40.3946177,-3.7099061
40.393156,-3.7124578
40.3987642,-3.7108979
40.3939253,-3.706612
40.3997164,-3.7045226
40.3969695,-3.7085889
40.3957863,-3.7074273
40.3944962,-3.7093025
40.3950549,-3.706874
40.3948625,-3.7100318
40.3979321,-3.7103378
40.3988073,-3.7044289
40.3850469,-3.7100092
40.3854627,-3.7064401
40.3881113,-3.7098624
40.3838589,-3.7113409
40.3854901,-3.7125439
40.3839486,-3.7034306
40.3863239,-3.7042551
40.3833646,-3.705087
40.3823349,-3.7060115
40.3907168,-3.7093954
40.3829041,-3.7041795
40.3830784,-3.7090035
40.3866399,-3.7089547
40.3818764,-3.709105
40.3857625,-3.7104279
40.3864359,-3.7035632
40.3869635,-3.7091142
40.3857486,-3.7040306
